TOC (%),Moisture (%),Temp (C),Pres. (MPa),CO2 Excess Sorption (cm3/gr)
5.79,0.36,45,23.476,1.704755731
5.79,0.36,45,23.807,1.731894307
5.79,0.36,45,24.031,1.735302674
5.79,0.41,45,1.618,1.314026795
5.79,0.41,45,3.461,1.365753722
5.79,0.41,45,5.102,1.463437029
5.79,0.41,45,6.555,1.500857127
5.79,0.41,45,7.85,1.554062498
5.79,0.41,45,9.008,1.57395413
5.79,0.41,45,10.046,1.577135063
5.79,0.41,45,10.98,1.581999298
5.79,0.41,45,11.816,1.607953531
5.79,0.41,45,12.642,1.614510545
5.79,0.41,45,14.223,1.629180009
5.79,0.41,45,16.045,1.627929872
5.79,0.41,45,17.623,1.646547165
5.79,0.41,45,18.964,1.642170757
5.79,0.41,45,20.497,1.662409063
5.79,0.41,45,21.751,1.657954953
5.79,0.41,45,22.768,1.672346003
5.79,0.41,45,23.564,1.6839067
5.79,0.41,45,24.152,1.692609928
5.79,0.41,45,24.579,1.699015859
5.79,0.41,45,24.866,1.703361645
5.79,0.41,45,25.052,1.706195221
5.79,0.41,45,25.15,1.707693587
5.79,0.41,45,25.194,1.708367533
5.79,1.34,45,1.637,0.888791433
5.79,1.34,45,3.159,0.992725512
5.79,1.34,45,4.645,1.102416915
5.79,1.34,45,6.463,1.177069691
5.79,1.34,45,7.948,1.210786143
5.79,1.34,45,9.264,1.251511517
5.79,1.34,45,10.437,1.255079321
5.79,1.34,45,11.485,1.260076581
5.79,1.34,45,12.425,1.265667653
5.79,1.34,45,13.267,1.271397786
5.79,1.34,45,14.023,1.277035424
5.79,1.34,45,14.702,1.282447205
5.79,1.34,45,15.308,1.287527508
5.79,1.34,45,14.046,1.277213573
5.79,1.34,45,15.501,1.289191675
5.79,1.34,45,17.49,1.28641181
5.79,1.34,45,19.119,1.302520461
5.79,1.34,45,20.444,1.294824034
5.79,1.34,45,21.464,1.305767925
5.79,1.34,45,22.241,1.292437516
5.79,1.34,45,22.821,1.320874532
5.79,1.34,45,23.243,1.325695095
5.79,1.34,45,23.546,1.329191408
5.79,1.34,45,23.766,1.331748208
5.79,1.34,45,23.919,1.333535334
5.79,1.34,45,24.02,1.312473775
5.79,1.34,45,24.069,1.313039634
10.94,0.39,45,0.987,3.190676285
10.94,0.39,45,2.63,2.764437127
10.94,0.39,45,4.205,3.05149641
10.94,0.39,45,5.67,3.27099783
10.94,0.39,45,7.806,3.49184783
10.94,0.39,45,9.369,3.593662126
10.94,0.39,45,10.784,3.648106088
10.94,0.39,45,12.073,3.688505607
10.94,0.39,45,13.243,3.711159978
10.94,0.39,45,14.313,3.714122025
10.94,0.39,45,15.294,3.716870434
10.94,0.39,45,16.993,3.698100932
10.94,0.39,45,18.457,3.675087239
10.94,0.39,45,19.557,3.642559871
10.94,0.39,45,21.267,3.606698973
10.94,0.39,45,22.7,3.584649602
10.94,0.39,45,23.767,3.573555638
10.94,0.39,45,24.701,3.558376621
10.94,0.39,45,25.379,3.557514222
10.94,0.39,45,25.902,3.551742276
10.94,0.39,45,26.279,3.541246251
10.94,0.39,45,26.586,3.551203534
10.94,0.68,45,1.079,2.512322063
10.94,0.68,45,2.659,2.411784403
10.94,0.68,45,4.159,2.697582847
10.94,0.68,45,5.558,2.886568707
10.94,0.68,45,6.854,3.016817669
10.94,0.68,45,8.048,3.127496088
10.94,0.68,45,9.153,3.188826214
10.94,0.68,45,10.175,3.236320807
10.94,0.68,45,11.122,3.267216151
10.94,0.68,45,12.001,3.279806314
10.94,0.68,45,12.82,3.293432394
10.94,0.68,45,13.576,3.307380288
10.94,0.68,45,14.279,3.300746251
10.94,0.68,45,14.929,3.314383931
10.94,0.68,45,15.531,3.306821179
10.94,0.68,45,16.636,3.290400386
10.94,0.68,45,17.672,3.273181081
10.94,0.68,45,18.645,3.276208813
10.94,0.68,45,19.551,3.256721669
10.94,0.68,45,20.405,3.236032143
10.94,0.68,45,21.213,3.214168705
10.94,0.68,45,22.618,3.186558907
10.94,0.68,45,24.232,3.142453343
10.94,2.65,45,1.158,1.449399375
10.94,2.65,45,2.749,1.616808572
10.94,2.65,45,4.231,1.892540736
10.94,2.65,45,5.596,2.107612015
10.94,2.65,45,6.859,2.247371156
10.94,2.65,45,8.024,2.360816065
10.94,2.65,45,9.108,2.441932677
10.94,2.65,45,10.114,2.507712237
10.94,2.65,45,11.051,2.556237907
10.94,2.65,45,11.924,2.606599758
10.94,2.65,45,12.737,2.637671307
10.94,2.65,45,14.32,2.682538018
10.94,2.65,45,15.821,2.709027398
10.94,2.65,45,17.246,2.715551761
10.94,2.65,45,18.599,2.722115062
10.94,2.65,45,19.878,2.728194252
10.94,2.65,45,21.084,2.733461828
10.94,2.65,45,22.209,2.737471037
10.94,2.65,45,23.248,2.717792734
10.94,2.65,45,24.671,2.707224433
10.94,2.65,45,25.809,2.712419598
10.94,2.65,70,1.227375647,2.240888223
10.94,2.65,70,3.038583227,2.373841253
10.94,2.65,70,4.240014502,2.591284147
10.94,2.65,70,5.882413717,2.834197399
10.94,2.65,70,6.926719137,2.959352407
10.94,2.65,70,7.908964773,3.057582153
10.94,2.65,70,8.837173697,3.13671469
10.94,2.65,70,9.711903616,3.200069584
10.94,2.65,70,10.9512835,3.273589364
10.94,2.65,70,12.47000451,3.339596496
10.94,2.65,70,13.84997887,3.383213058
10.94,2.65,70,15.44943261,3.418078996
10.94,2.65,70,16.89410271,3.437493963
10.94,2.65,70,18.19997582,3.455128828
10.94,2.65,70,19.37312951,3.460417903
10.94,2.65,70,20.41384911,3.465652627
10.94,2.65,70,21.32664361,3.469214414
10.94,2.65,70,22.11424431,3.475421286
10.94,2.65,70,22.78447442,3.477080434
10.94,2.65,70,23.34077935,3.477599963
10.94,2.65,70,23.79554925,3.476634918
10.94,2.65,70,25.12482476,3.47028895
10.94,2.65,70,26.08347039,3.470659713
10.94,2.65,70,26.77260308,3.471155277
10.94,2.65,100,1.921075674,1.296282903
10.94,2.65,100,3.225834128,1.517932222
10.94,2.65,100,4.468969198,1.710501716
10.94,2.65,100,5.641097494,1.860941654
10.94,2.65,100,6.729796072,1.98006103
10.94,2.65,100,7.754411551,2.076472428
10.94,2.65,100,8.720200583,2.156011047
10.94,2.65,100,10.07192101,2.252135712
10.94,2.65,100,11.31826653,2.325036931
10.94,2.65,100,12.46486535,2.385032596
10.94,2.65,100,13.52126946,2.430809128
10.94,2.65,100,14.49255547,2.470411257
10.94,2.65,100,15.38228783,2.499873101
10.94,2.65,100,16.64743828,2.536287527
10.94,2.65,100,17.79605431,2.566217033
10.94,2.65,100,19.49166741,2.60069156
10.94,2.65,100,21.09855675,2.631314605
10.94,2.65,100,22.49907708,2.648700909
10.94,2.65,100,23.5709826,2.661160798
10.94,2.65,100,24.32391839,2.674364715
10.94,2.65,100,24.91354546,2.681491447
10.94,2.65,100,25.33941826,2.690677036
10.94,2.65,100,25.63138299,2.695023634
10.94,2.65,100,25.84357171,2.703506837
10.94,2.65,100,25.98226189,2.705345193
10.94,2.65,130,1.963458105,0.989719777
10.94,2.65,130,3.291958853,1.180345086
10.94,2.65,130,4.547804114,1.348099751
10.94,2.65,130,6.267096945,1.543370896
10.94,2.65,130,7.357758566,1.648717223
10.94,2.65,130,8.382560202,1.737809464
10.94,2.65,130,9.801906058,1.846018695
10.94,2.65,130,10.67342095,1.907490308
10.94,2.65,130,11.91105523,1.984919288
10.94,2.65,130,12.65424676,2.02783609
10.94,2.65,130,13.35470299,2.066821341
10.94,2.65,130,14.00916314,2.098030406
10.94,2.65,130,14.62321953,2.126815638
10.94,2.65,130,15.5253222,2.169798234
10.94,2.65,130,16.04472375,2.190005078
10.94,2.65,130,17.38334527,2.245224471
10.94,2.65,130,19.01113305,2.304704208
10.94,2.65,130,20.44441552,2.352211362
10.94,2.65,130,21.68486199,2.388890114
10.94,2.65,130,22.73871941,2.422087639
10.94,2.65,130,23.90140862,2.451618229
10.94,2.65,130,24.85945611,2.476663385
10.94,2.65,130,25.63821282,2.494902595
10.94,2.65,130,26.25385308,2.508958376
10.94,2.65,130,26.72356438,2.52194292
10.94,2.65,130,27.06478142,2.532245461
10.94,2.65,130,27.318117,2.539103941
5.41,0.3,45,1.028,1.337383996
5.41,0.3,45,2.066,1.146197797
5.41,0.3,45,3.473,1.278253781
5.41,0.3,45,4.79,1.38919694
5.41,0.3,45,6.006,1.466661192
5.41,0.3,45,7.133,1.536854039
5.41,0.3,45,8.187,1.593822429
5.41,0.3,45,9.171,1.614635025
5.41,0.3,45,10.084,1.658186901
5.41,0.3,45,10.939,1.66286818
5.41,0.3,45,11.742,1.688797515
5.41,0.3,45,12.495,1.694966843
5.41,0.3,45,13.211,1.701497113
5.41,0.3,45,14.295,1.712431782
5.41,0.3,45,15.521,1.726085881
5.41,0.3,45,16.693,1.719254128
5.41,0.3,45,17.646,1.731282377
5.41,0.3,45,19.517,1.713600929
5.41,0.3,45,21.076,1.713723693
5.41,0.3,45,22.332,1.709968903
5.41,0.3,45,23.344,1.702800188
5.41,0.3,45,24.156,1.714941572
5.41,0.3,45,24.813,1.724958754
5.41,0.3,45,25.318,1.710270871
5.41,0.3,45,25.735,1.71671516
5.41,0.41,45,1.028,1.337383996
5.41,0.41,45,2.066,1.146197797
5.41,0.41,45,3.473,1.256588463
5.41,0.41,45,4.79,1.368462657
5.41,0.41,45,6.006,1.446290898
5.41,0.41,45,7.133,1.516632275
5.41,0.41,45,8.187,1.553472494
5.41,0.41,45,9.171,1.594452088
5.41,0.41,45,10.084,1.617743318
5.41,0.41,45,10.939,1.62231042
5.41,0.41,45,11.742,1.648103599
5.41,0.41,45,12.495,1.654124268
5.41,0.41,45,13.211,1.660497182
5.41,0.41,45,14.295,1.671168366
5.41,0.41,45,15.521,1.663697235
5.41,0.41,45,16.693,1.656354587
5.41,0.41,45,17.646,1.646829578
5.41,0.41,45,19.517,1.627920882
5.41,0.41,45,21.076,1.626952874
5.41,0.41,45,22.332,1.62227819
5.41,0.41,45,23.344,1.614343035
5.41,0.41,45,24.156,1.625853698
5.41,0.41,45,24.813,1.612948446
5.41,0.41,45,25.318,1.620256615
5.41,0.41,45,25.735,1.626361731
5.41,1.81,45,1.135,0.666406492
5.41,1.81,45,3.143,0.728760266
5.41,1.81,45,4.956,0.826640562
5.41,1.81,45,6.952,0.930923455
5.41,1.81,45,8.428,0.968305464
5.41,1.81,45,9.774,1.010287345
5.41,1.81,45,11.018,1.014250246
5.41,1.81,45,12.622,1.021735357
5.41,1.81,45,14.054,1.030060988
5.41,1.81,45,15.162,1.037325094
5.41,1.81,45,16.156,1.023464221
5.41,1.81,45,17.31,1.031974021
5.41,1.81,45,19.217,1.00435481
5.41,1.81,45,20.902,0.996431418
5.41,1.81,45,22.366,0.986806157
5.41,1.81,45,23.623,0.953227261
5.41,1.81,45,24.689,0.962225534
5.41,1.81,45,25.588,0.947451355
5.41,1.81,45,26.345,0.953987105
5.41,1.81,45,26.966,0.959438998
15.91,0.4,45,1.876,3.45017555
15.91,0.4,45,3.125,3.493379022
15.91,0.4,45,4.334,3.627017485
15.91,0.4,45,6.101,3.785547152
15.91,0.4,45,7.717,3.896167077
15.91,0.4,45,9.184,3.976110368
15.91,0.4,45,10.524,4.029546161
15.91,0.4,45,11.745,4.049099809
15.91,0.4,45,12.862,4.071681753
15.91,0.4,45,14.047,4.078868109
15.91,0.4,45,15.454,4.095008578
15.91,0.4,45,16.712,4.089027033
15.91,0.4,45,17.933,4.104788079
15.91,0.4,45,19.526,4.09151476
15.91,0.4,45,20.888,4.093561148
15.91,0.4,45,22.05,4.111611973
15.91,0.4,45,23.025,4.123966194
15.91,0.4,45,23.833,4.130842692
15.91,0.4,45,24.497,4.132754246
15.91,0.4,45,25.025,4.12979057
15.91,0.4,45,25.472,4.146398765
15.91,0.62,45,2.163,3.208596773
15.91,0.62,45,3.687,3.367299412
15.91,0.62,45,5.13,3.522936178
15.91,0.62,45,6.473,3.652723607
15.91,0.62,45,7.715,3.734682657
15.91,0.62,45,8.865,3.793121227
15.91,0.62,45,9.93,3.840561484
15.91,0.62,45,10.917,3.872944899
15.91,0.62,45,11.833,3.908243948
15.91,0.62,45,12.868,3.928583616
15.91,0.62,45,13.645,3.945793559
15.91,0.62,45,14.365,3.963011391
15.91,0.62,45,15.161,3.962555736
15.91,0.62,45,15.762,3.978579358
15.91,0.62,45,16.898,3.989520501
15.91,0.62,45,18.181,3.985316558
15.91,0.62,45,19.359,4.000529594
15.91,0.62,45,20.253,4.007728164
15.91,0.62,45,21.084,3.991722034
15.91,0.62,45,21.861,4.017714017
15.91,0.62,45,22.885,4.008859181
15.91,0.62,45,24.121,4.029983236
15.91,1.66,45,2.327,2.579881507
15.91,1.66,45,4.196,2.883933481
15.91,1.66,45,5.624,3.068270946
15.91,1.66,45,7.234,3.254472223
15.91,1.66,45,8.447,3.348717067
15.91,1.66,45,9.818,3.435335691
15.91,1.66,45,10.85,3.486808291
15.91,1.66,45,11.807,3.521068958
15.91,1.66,45,12.699,3.557075009
15.91,1.66,45,13.525,3.573378378
15.91,1.66,45,15.062,3.607519968
15.91,1.66,45,16.519,3.643646575
15.91,1.66,45,17.892,3.659324542
15.91,1.66,45,19.187,3.674643583
15.91,1.66,45,20.401,3.68895654
15.91,1.66,45,21.533,3.701810135
15.91,1.66,45,22.577,3.712686384
15.91,1.66,45,23.529,3.721184525
15.91,1.66,45,24.659,3.736018512
15.91,1.66,45,25.599,3.745060611
62.2,6.4,61,1.79,0.0894
62.2,6.4,61,3.2,0.1421
62.2,6.4,61,4.29,0.1696
62.2,6.4,61,5.15,0.1903
62.2,6.4,61,6.68,0.2201
62.2,6.4,61,7.91,0.2384
62.2,6.4,61,8.86,0.2567
62.2,6.4,61,9.57,0.2682
62.2,6.4,61,11.43,0.2774
62.2,6.4,61,12.86,0.2888
62.2,6.4,61,13.99,0.298
62.2,6.4,61,14.94,0.298
62.2,6.4,61,15.62,0.298
62.2,6.4,61,16.58,0.3026
62.2,6.4,61,17.33,0.3072
62.2,6.4,61,17.92,0.3072
62.2,6.4,61,1.53,0.094
62.2,6.4,61,2.79,0.1536
62.2,6.4,61,4.6,0.2086
62.2,6.4,61,6.03,0.2476
62.2,6.4,61,7.2,0.2636
62.2,6.4,61,8.15,0.2774
62.2,6.4,61,9.81,0.3003
62.2,6.4,61,11.21,0.3095
62.2,6.4,61,12.27,0.3186
62.2,6.4,61,13.21,0.3278
62.2,6.4,61,13.92,0.3278
62.2,6.4,61,14.54,0.3301
62.2,6.4,61,15.01,0.337
62.2,6.4,61,15.42,0.337
62.2,6.4,61,1.46,0.1398
62.2,6.4,61,2.72,0.2132
62.2,6.4,61,3.82,0.2613
62.2,6.4,61,5.42,0.3072
62.2,6.4,61,7.69,0.3553
62.2,6.4,61,9.48,0.3874
62.2,6.4,61,10.9,0.3966
62.2,6.4,61,12.07,0.4057
62.2,6.4,61,13,0.4126
62.2,6.4,61,13.79,0.4172
62.2,6.4,61,14.41,0.4172
62.2,6.4,61,14.94,0.4195
62.2,6.4,61,15.34,0.4195
74.4,4,61,1.41,0.2017
74.4,4,61,2.63,0.3049
74.4,4,61,4.51,0.3759
74.4,4,61,6.03,0.4149
74.4,4,61,7.23,0.4355
74.4,4,61,9.88,0.4585
74.4,4,61,11.27,0.4653
74.4,4,61,12.35,0.4699
74.4,4,61,13.17,0.4745
74.4,4,61,14.3,0.4585
74.4,4,61,14.74,0.4562
74.4,4,61,8.2,0.4493
74.4,4,61,1.44,0.1628
74.4,4,61,2.68,0.2567
74.4,4,61,4.47,0.3415
74.4,4,61,6.54,0.4103
74.4,4,61,8.18,0.4539
74.4,4,61,8.55,0.4562
74.4,4,61,9.88,0.4814
74.4,4,61,11.25,0.502
74.4,4,61,12.33,0.5158
74.4,4,61,13.26,0.5203
74.4,4,61,14.01,0.5249
74.4,4,61,14.56,0.5295
74.4,4,61,15.11,0.5364
74.4,4,61,1.64,0.1421
74.4,4,61,3.38,0.2384
74.4,4,61,4.79,0.2911
74.4,4,61,6.32,0.3393
74.4,4,61,7.51,0.3691
74.4,4,61,8.47,0.3897
74.4,4,61,10.25,0.4172
74.4,4,61,12.2,0.4493
74.4,4,61,13.75,0.4653
74.4,4,61,15.01,0.4791
74.4,4,61,16.04,0.4883
88.5,4.8,61,1.28,0.3255
88.5,4.8,61,2.48,0.5203
88.5,4.8,61,4.31,0.706
88.5,4.8,61,5.84,0.8046
88.5,4.8,61,7.18,0.8688
88.5,4.8,61,9.19,0.9352
88.5,4.8,61,10.83,0.965
88.5,4.8,61,12.13,0.9834
88.5,4.8,61,13.22,1.0017
88.5,4.8,61,14.59,1.0132
88.5,4.8,61,15.73,1.0201
88.5,4.8,61,1.15,0.4149
88.5,4.8,61,2.36,0.6418
88.5,4.8,61,3.74,0.816
88.5,4.8,61,5.44,0.9375
88.5,4.8,61,6.83,1.0132
88.5,4.8,61,7.96,1.0544
88.5,4.8,61,9.86,1.1026
88.5,4.8,61,11.42,1.1347
88.5,4.8,61,12.64,1.1415
88.5,4.8,61,13.57,1.1461
88.5,4.8,61,14.32,1.1507
88.5,4.8,61,14.9,1.1576
88.5,4.8,61,15.4,1.1576
88.5,4.8,61,0.95,0.4172
88.5,4.8,61,1.97,0.6923
88.5,4.8,61,2.89,0.8665
88.5,4.8,61,3.74,0.9857
88.5,4.8,61,4.89,1.1003
88.5,4.8,61,6.14,1.2011
88.5,4.8,61,7.21,1.2745
88.5,4.8,61,8.8,1.3593
88.5,4.8,61,10.08,1.412
88.5,4.8,61,11.18,1.4464
88.5,4.8,61,11.91,1.4716
88.5,4.8,61,12.79,1.5014
88.5,4.8,61,13.53,1.5244
6.01,1.5,53,1.1,1.5
6.01,1.5,53,3.13,3
6.01,1.5,53,5.89,4
6.01,1.5,53,9.57,4.64
6.01,1.5,53,13.25,5.18
6.01,1.5,53,16.8,5.27
6.01,1.5,53,20.22,5.36
5.29,1.5,62,1.1,1.77
5.29,1.5,62,3.13,2.83
5.29,1.5,62,5.89,3.63
5.29,1.5,62,9.57,4.16
5.29,1.5,62,13.25,4.69
5.29,1.5,62,16.8,4.87
5.29,1.5,62,20.22,4.96
6.11,1.5,64,1.1,1.42
6.11,1.5,64,3.13,3.1
6.11,1.5,64,5.89,4.16
6.11,1.5,64,9.57,4.6
6.11,1.5,64,13.25,4.78
6.11,1.5,64,16.8,4.78
6.11,1.5,64,20.22,4.78
3.28,1.5,60,1.1,0.8
3.28,1.5,60,3.13,1.68
3.28,1.5,60,5.89,2.35
3.28,1.5,60,9.57,2.74
3.28,1.5,60,13.25,2.96
3.28,1.5,60,16.8,3.19
3.28,1.5,60,20.22,3.32
1.11,1.5,54,1.1,0.58
1.11,1.5,54,3.13,1.15
1.11,1.5,54,5.89,1.59
1.11,1.5,54,9.57,1.95
1.11,1.5,54,13.25,2.04
1.11,1.5,54,16.8,2.12
1.11,1.5,54,20.22,2.17
0.91,1.5,60,1.1,0.62
0.91,1.5,60,3.13,1.11
0.91,1.5,60,5.89,1.42
0.91,1.5,60,9.57,1.55
0.91,1.5,60,13.25,1.77
0.91,1.5,60,16.8,1.81
0.91,1.5,60,20.22,1.86
4.05,1.5,57,1.1,1
4.05,1.5,57,3.13,1.88
4.05,1.5,57,5.89,2.54
4.05,1.5,57,9.57,2.95
4.05,1.5,57,13.25,3.13
4.05,1.5,57,16.8,3.3
4.05,1.5,57,20.22,3.21
5.15,1.5,30,0.36,1.06
5.15,1.5,30,1.04,2.5
5.15,1.5,30,2.21,3.89
5.15,1.5,30,4.28,4.78
5.15,1.5,30,6.21,5.13
5.15,1.5,30,8.67,5.31
5.15,1.5,30,10.94,5.31
5.15,1.5,40,0.38,1.06
5.15,1.5,40,1.04,2.21
5.15,1.5,40,2.21,3.63
5.15,1.5,40,4.28,4.42
5.15,1.5,40,6.21,4.69
5.15,1.5,40,8.67,4.87
5.15,1.5,40,10.83,5
5.15,1.5,50,0.38,0.71
5.15,1.5,50,1.04,1.88
5.15,1.5,50,2.21,2.68
5.15,1.5,50,4.28,3.57
5.15,1.5,50,6.21,3.84
5.15,1.5,50,8.67,4.2
5.15,1.5,50,10.83,4.38
5.15,1.5,60,0.38,0.5
5.15,1.5,60,1.04,1.34
5.15,1.5,60,2.21,2.05
5.15,1.5,60,4.28,2.86
5.15,1.5,60,6.21,3.13
5.15,1.5,60,8.67,3.5
5.15,1.5,60,10.83,3.57
5.15,1.5,70,0.36,0.4
5.15,1.5,70,1.04,1.15
5.15,1.5,70,2.21,1.81
5.15,1.5,70,4.28,2.57
5.15,1.5,70,6.21,2.92
5.15,1.5,70,8.67,3.1
5.15,1.5,70,10.94,3.23
4.76,1.5,30,0.36,1.06
4.76,1.5,30,1.04,2.5
4.76,1.5,30,2.21,3.63
4.76,1.5,30,4.28,4.42
4.76,1.5,30,6.21,4.84
4.76,1.5,30,8.67,5
4.76,1.5,30,10.94,5.12
4.76,1.5,40,0.38,1.16
4.76,1.5,40,1.04,2.14
4.76,1.5,40,2.21,2.95
4.76,1.5,40,4.28,3.84
4.76,1.5,40,6.21,4.29
4.76,1.5,40,8.67,4.55
4.76,1.5,40,10.83,4.55
4.76,1.5,50,0.38,0.63
4.76,1.5,50,1.04,1.61
4.76,1.5,50,2.21,2.32
4.76,1.5,50,4.28,2.95
4.76,1.5,50,6.21,3.13
4.76,1.5,50,8.67,3.21
4.76,1.5,50,10.83,3.5
4.76,1.5,60,0.38,0.4
4.76,1.5,60,1.04,1.11
4.76,1.5,60,2.21,1.73
4.76,1.5,60,4.28,2.23
4.76,1.5,60,6.21,2.39
4.76,1.5,60,8.67,2.59
4.76,1.5,60,10.83,2.59
4.76,1.5,70,0.36,0.31
4.76,1.5,70,1.04,1
4.76,1.5,70,2.21,1.46
4.76,1.5,70,4.28,1.95
4.76,1.5,70,6.21,2.17
4.76,1.5,70,8.67,2.26
4.76,1.5,70,10.94,2.3
